Time stamp,Machine ID,Attribute name,Attribute value,Attribute deleted,,,,,
0,5,+8aLrMrUBQLYLD4Ndxi/ZmwwKGhtFGskL8ZSdChYMdo=,1,0,,,,,
0,5,4chZqkETND7f4XrzdWLe8c1eLHKuYgjnUMSV+83EYFA=,1,0,,,,,
0,5,5dEuieuWMFy+CNMBBf/uXNX5nP4Kgzeu0O6UizRNK3w=,2,0,,,,,
0,5,81Cd14q4ebyI/3TPkkIwGYlB/mvKhBUk3e/E8egb4s0=,2,0,,,,,
0,5,9eCGRtl6XN5GQoOYGEjKtupBbtUoOaOPYRFw+pzH7IU=,2,0,,,,,
0,5,AbDt9LdIlA7DylAxXIG9AiJ2J18Cuhpmk5fouqfP1LQ=,1,0,,,,,
0,5,ByISK6v8seuIxB23FGnamad97zwwKG2auw7Zs6h9Boc=,4,0,,,,,
0,5,CPN9sCVKIBSqzdaCv2CNTsbDRt/oA6rDAVecPSbyeCY=,tHf5iHqQjCIQdZqxBXwrqK3Fp56kcM/z9Fqw6aCoEfM=,0,,,,,
0,5,Drtjw4xPqRquKalsI2q5OaN14xXUha47Qs7m83yx0fQ=,1,0,,,,,
0,5,Eqr5/diyFWeYBfm508mvBV9y9L8uPjCkYuL1DtgDaSU=,1,0,,,,,
0,5,GD94CihDvzCC+HgG6LWXRqq03s/QOZwRm+VXVhaJ5FE=,1,0,,,,,
0,5,GKAYWlOFlntxaxFt+CCHj/Og1BgToNx62SMW9WHlf8g=,ApvNMCBlJ6uLIc76F8oq6hU6rngXkqqxeoJ7uh+wFC0=,0,,,,,
0,5,HQ0Tw/ydmSMtgousLp8cX1fTnpXFqCcXrX5Qbva5znM=,4,0,,,,,
0,5,IM+pw2KeAykfDiBYspxOQqvE6ovghGZS7W5iKqg83cY=,1,0,,,,,
0,5,JeoENxsZIjsVA3v6CoNzzr7YJms5JNZabBaOHbZpueo=,3,0,,,,,
0,5,JuC3qp6rNF75IKHBZk+mvRBuWbEf6K4O8bYI/Hgf0cs=,1,0,,,,,
0,5,Mq8KjADLLByyElVUq+c3cFVdXgFEfeCJhw+fKPgWjI4=,11,0,,,,,
0,5,NDlsp1C5MSIvyUmCYw7j4CztiPxSrUGAJzibS8xJ5Zg=,1,0,,,,,
0,5,O0gL4KJtwlvKOyF8uECtPKUF0oSDNxeNc+Z2FepHUnk=,1,0,,,,,
0,5,QhD5ID81G094A0+wLhb+ZjN1sdaQlwkKAB2e+4xxqwo=,4,0,,,,,
0,5,QlHb0NMTSytpaiRqXo9rzLE+wu5f7Cx4uvIm3KZc8lQ=,3,0,,,,,
0,5,UXoyQksNeYIycY9Dk5zo16RRSKQIgIGvbf3eic2t9W8=,2,0,,,,,
0,5,VpNAaQgO+x4ctIOUvXtif/tvIr9yzuDnBRTwEKI2TRk=,rz502M7nWPBnu1pmTzTxzIxUjzP9pvYTWNu6oMGjT7M=,0,,,,,
0,5,ZpZw+sjJYrnkTFaQa7zK5u8CazfWK8wK8NP496eDlRA=,4,0,,,,,
0,5,a9zJGWB2XzbmXITiSpJp8v85XQFgxHlCvnIiBVwj0cw=,/Tcipz9MprrEkkNwDkKOI2qFDLHa1Cpo1cFXyUOijTA=,0,,,,,
0,5,f+49QMu8EaahawvSHtHCAfPvZYeJaclaWvO/5LsL3AY=,1,0,,,,,
0,5,iDmVM9CBJbfsTpobqwGRQiSXP2hcCJYwMpY68x9ri9w=,8,0,,,,,
0,5,kOyEOvP6U7GeCTBdsiQitNnNqCVpI3iFa+FLTqEhQ5g=,2,0,,,,,
0,5,mansM6bIlckDBqXz7zIl+IJeUAIfrXYa5wIgb3fzoO8=,2,0,,,,,
0,5,mllg31ui43WCVtsdRvkkZBeNU+HAfRWwkDIAf0JEmBU=,1,0,,,,,
0,5,nM1shbK5G5VuE3lI1XAB/kub+InwgNM7LVPexd1AgII=,1,0,,,,,
0,5,nUunno7yG6iADfwBlhLHkExuJRd+Nscd90G9NZj+YTQ=,2,0,,,,,
0,5,nZ5q1pI72dPJKYidMWRLsv1e8b+NPCQFiRoRA9oJUs4=,2,0,,,,,
0,5,p8ZhzZo6jUe5PdjVklNuNCkogJqCEFA33ZThAAVyqWg=,JXB8WHrJgrUmOCO/cAJjldoh/Eo0jgIdCxVtOloO5tM=,0,,,,,
0,5,qtu6+42tn0xPmcv0ODnGWRQM0J/SgMM9lNsxc3ckbLw=,4,0,,,,,
0,5,rsWF8cgwVBDr1TZCW03bSkJCI+MnigTfUXxRMy+PCrA=,Fh/DvqPm7SJ3mymXpS1XMXuAIckLMKJ+myFcD4rnGdE=,0,,,,,
0,5,s93lk/yiSwQSBKWr6vfu+qa9xSjEKfQVkl1SEyn3Kow=,4,0,,,,,
0,5,w3/Je6spb3dt6QfX5PwD2MXqxLTzNur/Ts5JrAwl8xQ=,4,0,,,,,
0,5,wNqCDsckjGmkiJStuw+dRMj7oqxTnYssARjPB96ws4Y=,2,0,,,,,
0,5,xrLPEfaLoWqEPusv42iPso8MZvlF92N/A3o5pR/IMCQ=,rqvQ79k6/xzINv/qGfyKP4HDg7eNNc/NabfA6cvdXWE=,0,,,,,
0,5,zeTYeXds5XbzYVzUiHe9t3y9K3L5vndxaOFW8btTjU4=,1,0,,,,,
0,5,zqEOkdzktGuy9oI7M6oIKxqbyfanRB/pf+3HPNLTSqg=,1,0,,,,,
0,6,+8aLrMrUBQLYLD4Ndxi/ZmwwKGhtFGskL8ZSdChYMdo=,1,0,,,,,
0,6,4chZqkETND7f4XrzdWLe8c1eLHKuYgjnUMSV+83EYFA=,1,0,,,,,
0,6,5dEuieuWMFy+CNMBBf/uXNX5nP4Kgzeu0O6UizRNK3w=,2,0,,,,,
0,6,81Cd14q4ebyI/3TPkkIwGYlB/mvKhBUk3e/E8egb4s0=,2,0,,,,,
0,6,9eCGRtl6XN5GQoOYGEjKtupBbtUoOaOPYRFw+pzH7IU=,2,0,,,,,
0,6,AbDt9LdIlA7DylAxXIG9AiJ2J18Cuhpmk5fouqfP1LQ=,1,0,,,,,
0,6,ByISK6v8seuIxB23FGnamad97zwwKG2auw7Zs6h9Boc=,4,0,,,,,
0,6,CPN9sCVKIBSqzdaCv2CNTsbDRt/oA6rDAVecPSbyeCY=,5bUdBwbWxhAZY9gQMSUBGd+kp5tzod3xWdCcHJJS9Ck=,0,,,,,
0,6,Drtjw4xPqRquKalsI2q5OaN14xXUha47Qs7m83yx0fQ=,1,0,,,,,
0,6,Eqr5/diyFWeYBfm508mvBV9y9L8uPjCkYuL1DtgDaSU=,1,0,,,,,
0,6,GD94CihDvzCC+HgG6LWXRqq03s/QOZwRm+VXVhaJ5FE=,1,0,,,,,
0,6,GKAYWlOFlntxaxFt+CCHj/Og1BgToNx62SMW9WHlf8g=,NPSJWYpXkhyGnyq6xZ/5EDE7y/wahIb57paTCsaGdgM=,0,,,,,
0,6,HQ0Tw/ydmSMtgousLp8cX1fTnpXFqCcXrX5Qbva5znM=,4,0,,,,,
